Round,Race,Date,TrackType,Driver,DriverCode,DriverNumber,Team,GridPosition,Position,Points,Status,Time,QualifyingPosition,Season,GlobalRound,TrackTypeIdx,TierCode,DriverIdx,EffectivePosition,Recent5Avg,IsDNF,CumDNFRate
7,Emilia Romagna Grand Prix,2025-05-18,balanced,Y TSUNODA,TSU,22,Red Bull Racing,20.0,10.0,1.0,Finished,0 days 00:00:26.446000,20.0,2025,8,1,0,11,10.0,13.2,0,0.42857142857142855
8,Monaco Grand Prix,2025-05-25,technical,Y TSUNODA,TSU,22,Red Bull Racing,12.0,17.0,0.0,Lapped,0 days 00:01:11.849000,12.0,2025,9,2,0,11,17.0,12.0,1,0.375
9,Spanish Grand Prix,2025-06-01,balanced,Y TSUNODA,TSU,22,Red Bull Racing,19.0,13.0,0.0,Finished,0 days 00:00:28.822000,20.0,2025,10,1,0,11,13.0,13.0,0,0.4444444444444444
10,Canadian Grand Prix,2025-06-15,balanced,Y TSUNODA,TSU,22,Red Bull Racing,18.0,12.0,0.0,Lapped,0 days 00:00:05.456000,11.0,2025,11,1,0,11,12.0,13.8,1,0.4
11,Austrian Grand Prix,2025-06-29,balanced,Y TSUNODA,TSU,22,Red Bull Racing,18.0,16.0,0.0,Lapped,0 days 00:00:02.979000,18.0,2025,12,1,0,11,16.0,12.4,1,0.45454545454545453
12,British Grand Prix,2025-07-06,balanced,Y TSUNODA,TSU,22,Red Bull Racing,11.0,15.0,0.0,Lapped,0 days 00:00:32.250000,12.0,2025,13,1,0,11,15.0,13.6,1,0.5
13,Belgian Grand Prix,2025-07-27,balanced,Y TSUNODA,TSU,22,Red Bull Racing,7.0,13.0,0.0,Finished,0 days 00:01:15.395000,7.0,2025,14,1,0,11,13.0,14.6,0,0.5384615384615384
14,Hungarian Grand Prix,2025-08-03,balanced,Y TSUNODA,TSU,22,Red Bull Racing,20.0,17.0,0.0,Lapped,0 days 00:00:46.943000,16.0,2025,15,1,0,11,17.0,13.8,1,0.5
15,Dutch Grand Prix,2025-08-31,balanced,Y TSUNODA,TSU,22,Red Bull Racing,12.0,9.0,2.0,Finished,0 days 00:00:13.597000,12.0,2025,16,1,0,11,9.0,14.6,0,0.5333333333333333
16,Italian Grand Prix,2025-09-07,balanced,Y TSUNODA,TSU,22,Red Bull Racing,9.0,13.0,0.0,Finished,0 days 00:01:20.701000,10.0,2025,17,1,0,11,13.0,14.0,0,0.5
17,Azerbaijan Grand Prix,2025-09-21,high_speed,Y TSUNODA,TSU,22,Red Bull Racing,6.0,6.0,8.0,Finished,0 days 00:00:33.808000,6.0,2025,18,0,0,11,6.0,13.4,0,0.47058823529411764
18,Singapore Grand Prix,2025-10-05,technical,Y TSUNODA,TSU,22,Red Bull Racing,13.0,12.0,0.0,Lapped,0 days 00:00:19.269000,13.0,2025,19,2,0,11,12.0,11.6,1,0.4444444444444444
19,United States Grand Prix,2025-10-19,balanced,Y TSUNODA,TSU,22,Red Bull Racing,13.0,7.0,6.0,Finished,0 days 00:00:52.714000,13.0,2025,20,1,0,11,7.0,11.4,0,0.47368421052631576
20,Mexico City Grand Prix,2025-10-26,balanced,Y TSUNODA,TSU,22,Red Bull Racing,10.0,11.0,0.0,Finished,0 days 00:01:19.048000,11.0,2025,21,1,0,11,11.0,9.4,0,0.45
21,São Paulo Grand Prix,2025-11-09,balanced,Y TSUNODA,TSU,22,Red Bull Racing,17.0,17.0,0.0,Finished,0 days 00:01:09.176000,19.0,2025,22,1,0,11,17.0,9.8,0,0.42857142857142855
22,Las Vegas Grand Prix,2025-11-22,balanced,Y TSUNODA,TSU,22,Red Bull Racing,20.0,12.0,0.0,Finished,0 days 00:01:26.974000,19.0,2025,23,1,0,11,12.0,10.6,0,0.4090909090909091
23,Qatar Grand Prix,2025-11-30,high_speed,Y TSUNODA,TSU,22,Red Bull Racing,15.0,10.0,1.0,Finished,0 days 00:01:01.770000,16.0,2025,24,0,0,11,10.0,11.8,0,0.391304347826087
