Team,TotalPoints,CurrentRank,Tier
McLaren,1312.0,1,top
Ferrari,954.0,2,top
Red Bull Racing,884.0,3,top
Mercedes,850.0,4,mid
Aston Martin,147.0,5,mid
Haas F1 Team,123.0,6,lower
Williams,120.0,7,lower
Racing Bulls,94.0,8,lower
Alpine,76.0,9,lower
Kick Sauber,63.0,10,lower
RB,41.0,11,lower
